PROVIDER,LAPTOP,PHONE,WATCH,TABLET,JOYSTICK
AMAZON,63990.0,27800.0,1165.0,29900.0,4180.0
FLIPKART,65990.0,26999.0,1165.0,29900.0,4399.0
EBAY,59159.6,28512.36,747.02,24623.99,9977.9
